84, XX, 255.02
89, 74, 255.12
79, XX, 255.12
82, XX, 255.12
66, 52, 255.69
87, 68, 255.73
67, 59, 255.79
58, XX, 255.79
79, XX, 255.79
87, 69, 255.90
58, XX, 255.90
78, XX, 255.90
87, XX, 255.90
84, 84, 256.08
85, XX, 256.08
82, XX, 256.08
58, XX, 256.08
70, 74, 256.12
79, 79, 256.12
91, XX, 256.12
90, XX, 256.12
84, 81, 256.34
82, 72, 256.36
68, 86, 256.41
53, 56, 256.48
80, XX, 256.48
84, XX, 256.48
84, 77, 256.70
84, XX, 256.70
59, XX, 256.70
69, 70, 256.74
80, 66, 257.06
68, 77, 257.06
59, 67, 257.08
65, XX, 257.08
80, XX, 257.08
58, 44, 257.27
82, 103, 257.40
74, XX, 257.40
51, 70, 258.78
72, 68, 258.81
75, 71, 258.86
72, XX, 258.86
74, XX, 258.86
62, XX, 258.86
72, 80, 258.93
62, 52, 258.98
60, 35, 258.98
53, XX, 258.98
79, 62, 259.01
80, XX, 259.01
65, XX, 259.01
58, 50, 259.22
58, XX, 259.22
65, 44, 259.72
89, XX, 259.72
80, 72, 260.12
64, XX, 260.12
84, 71, 260.12
74, XX, 260.12
84, 74, 260.20
84, XX, 260.20
84, 87, 260.61
86, XX, 260.61
88, XX, 260.61
94, 87, 261.60
96, XX, 261.60
91, XX, 261.60
96, 83, 261.88
96, XX, 261.88
94, XX, 261.88
88, XX, 261.88
85, 49, 261.96
56, 47, 261.96
85, XX, 261.96
82, XX, 261.96
75, XX, 261.96
84, 57, 262.10
89, 57, 262.61
80, 37, 262.71
82, XX, 262.71
86, 38, 263.34
90, XX, 263.34
56, XX, 263.34
95, XX, 263.34
99, 34, 263.58
92, 39, 263.82
95, XX, 263.82
51, XX, 263.82
60, XX, 263.82
92, XX, 263.82
88, 64, 264.34
60, XX, 264.34
90, XX, 264.34
58, 55, 264.48
95, 55, 264.66
90, XX, 264.66
55, XX, 264.66
55, XX, 264.66
50, 62, 265.30
60, 54, 265.30
88, 73, 265.40
88, XX, 265.40
84, 66, 265.52
80, XX, 265.52
52, XX, 265.52
76, XX, 265.52
86, 69, 265.60
87, XX, 265.60
76, 54, 265.68
77, 70, 266.20
87, 82, 266.94
47, XX, 266.94
83, XX, 266.94
73, 77, 267.00
48, 88, 268.64
48, XX, 268.64
55, 71, 269.34
78, 73, 269.34
54, 67, 269.38
76, XX, 269.38
86, XX, 269.38
88, 55, 269.38
79, 58, 269.52
81, XX, 269.52
79, XX, 269.52
86, XX, 269.52
90, 45, 269.68
90, XX, 269.68
88, 48, 269.76
88, XX, 269.76
86, 47, 270.36
